,fold,predictors,combination,e,md,mcw,mds,g,subsample
16,7,7.0,pwm-pet-tcov-bgr-ts-ndvism-ndviw,0.0948891849372544,6.0,9.400149414925604,0.9862580532074168,1.43843957399185,0.9112182277649647
17,7,8.0,twq-yp-pwm-pet-tcov-bgr-ts-ndviw,0.0589937176949969,6.0,5.1495899747686575,8.124235959721124,2.012072951831993,0.853288959903235
18,7,9.0,yt-twq-yp-pwm-pet-tcov-bgr-ts-ndviw,0.0516407001824087,6.0,5.336698629606309,9.151116277816586,2.106028353956936,0.8321902602917247
19,7,11.0,tdq-twq-yp-pwm-pet-tcov-bgr-ps-ts-ndvif-ndviw,0.0778411346556291,5.0,4.223483119077319,6.825928219198161,0.1902974412635916,0.9572869315746692
20,5,1.0,pet,0.2492239162627643,3.0,9.905303032778432,5.769096965365903,9.62507298204254,0.9989147454908652
21,5,2.0,tcq-ndviw,0.0559587594880416,5.0,4.72187375038712,2.57065003242618,5.703436005554904,0.9970041574187608
22,5,3.0,tcq-bgr-ndviw,0.1194150106104918,6.0,3.9610281678142623,5.4782170728433535,6.402813654440019,0.9364933513792644
23,5,4.0,twq-bgr-ts-ndviw,0.1223052709611332,6.0,6.103054305765472,4.372737343717457,2.838654628450665,0.8609000298465133
24,5,5.0,twq-yp-bgr-ts-ndviw,0.0746815400575729,6.0,5.788541080628536,3.433276036817667,0.1420234505413005,0.880228760027367
25,5,6.0,yt-tdq-twq-tcq-tcov-ts,0.0653244463320857,6.0,1.7721733699914426,8.947694656582826,9.403310745175183,0.8905200866508918
26,5,7.0,twq-yp-tcov-bgr-ts-ndviw-wavai,0.1408157426403004,6.0,6.74823356477436,2.638862759905028,2.2907606352479144,0.7624002982192899
27,5,8.0,tdq-pet-tcov-bgr-ps-ts-ndviw-wavai,0.0905896152759235,5.0,2.7273272818435457,9.688131214954891,0.5798693100595097,0.7210641943857328
28,5,9.0,yt-twq-yp-pwm-bgr-ps-ts-ndvif-ndviw,0.1454171188109671,5.0,5.8653819499643,4.899168251299723,3.066255702902372,0.8706837762937476
29,5,10.0,yt-tdq-yp-pet-tcov-bgr-ps-ts-ndviw-wavai,0.1146238649077718,5.0,1.0,9.0885481128337,0.0,0.7373527707835
30,5,11.0,tdq-twq-yp-pwm-tcov-bgr-ps-ts-ndvif-ndviw-wavai,0.0806072096160916,5.0,2.0299340006967976,10.0,2.4062874048740337,0.7197745968940115
31,5,12.0,yt-tdq-twq-yp-pwm-tcov-bgr-ps-ts-ndvif-ndviw-wavai,0.0734768787177304,6.0,3.5956455644525427,9.911274017164343,0.202991686270996,0.7857164544382997
32,10,1.0,pet,0.2621882555109339,6.0,1.985181429210806,0.2215929888359663,9.854601167803516,0.8086158586541634
33,10,2.0,tcq-tcov,0.0629026490889811,4.0,7.356295442793248,6.326929633882296,8.308304772898635,0.8285582362895301
34,10,3.0,tcq-tcov-ts,0.1117957335917289,6.0,4.839638908246358,5.606955120325998,8.967189142340624,0.7664595051094645
35,10,4.0,yt-tcov-bgr-ts,0.1293078745786729,6.0,1.0,3.2461439962339007,8.216580091422783,0.9207625520849688
36,10,5.0,twq-yp-tcov-bgr-ts,0.0812151251599202,6.0,4.565371275331023,0.0,0.7747721269352716,0.7911168380214854
37,10,6.0,twq-yp-pet-tcov-bgr-ts,0.0826474406892756,6.0,2.127775291314837,3.559028621053356,0.2933883664254707,0.7929993394549092
38,10,7.0,twq-yp-pet-tcov-bgr-ps-ts,0.0679839625882799,6.0,3.504239226660172,2.17866044781921,0.6547973543850459,0.7888873209235563
39,10,8.0,yt-twq-yp-pwm-pet-bgr-ndvism-ndvif,0.1853508999780428,6.0,4.483854076884348,7.755340269825668,3.782759171847352,0.7870660194690771
40,10,9.0,yt-twq-yp-pet-tcov-ps-ts-ndvism-ndvif,0.0934025169743549,6.0,4.829616891810041,3.4693136102680437,1.4005689925073082,0.6613887213589157
41,10,10.0,yt-twq-yp-pwm-pet-tcov-bgr-ps-ts-ndvif,0.0813579097868336,6.0,5.108565668082015,3.569074597602932,0.0,0.6376169765720057
42,10,11.0,yt-twq-tcq-pwm-pet-tcov-ps-ts-ndvism-ndvif-ndviw,0.0741805361365915,6.0,4.826818347147279,3.374328863927177,0.8666182362727555,0.6002594923405474
43,10,12.0,twq-tcq-yp-pwm-pet-ai-tcov-bgr-ps-ts-ndvism-ndviw,0.0703902259650811,6.0,3.681529156283821,1.825595888926494,0.7132510232282075,0.7878682102965964
44,4,1.0,pet,0.2428590359644115,4.0,8.493145773270719,0.1920499101246238,10.0,0.7806689419582878
45,4,2.0,tcq-tcov,0.118503889891653,5.0,10.0,10.0,5.665011264100592,1.0
46,4,3.0,twq-ts-ndviw,0.0791482544156879,6.0,1.0645798877719237,0.0,4.631153372693611,0.8104599759572566
47,4,4.0,tcq-pwm-tcov-ps,0.1629335106241515,6.0,4.013411403254096,6.44987324845137,5.837541480488766,0.7402713236939108
48,4,5.0,twq-yp-ps-ts-ndviw,0.0795069188496822,6.0,6.576952033822816,2.3864309930233967,0.0,0.8061950652348893
49,4,6.0,twq-yp-bgr-ps-ts-ndviw,0.080845702065401,6.0,6.162119275481466,9.397091211509233,0.0,0.7172740526595346
50,4,7.0,twq-yp-bgr-ps-ts-ndvism-ndviw,0.0717484800165417,6.0,2.4084139900243757,6.7099695927878695,0.9407904194942348,0.7236496951416311
51,4,8.0,twq-yp-bgr-ps-ts-ndvism-ndvif-ndviw,0.0714955949465157,6.0,4.150574032790558,7.099202519936618,0.9052518596509422,0.7211695547847794
52,4,9.0,tcq-yp-pwm-ai-tcov-bgr-ts-ndviw-wavai,0.1136321803900552,5.0,7.768946627784419,7.421945295435506,4.378777320297511,0.984971981019711
53,4,10.0,yt-twq-yp-ai-bgr-ps-ts-ndvism-ndvif-ndviw,0.0946219250483675,6.0,2.9859767300557936,7.422625183715414,0.9043283910041932,0.820204700914662
54,4,11.0,yt-twq-tcq-yp-ai-bgr-ts-ndvism-ndvif-ndviw-ndvisp,0.0744771410940164,6.0,5.197656612150241,6.720521049182029,1.6179124164167829,0.8172914100048175
55,8,1.0,pet,0.2267372000892044,3.0,10.0,0.4745317456776338,10.0,0.8208321794258773
56,8,2.0,twq-yp,0.0767422751092618,5.0,5.279915369255566,3.594705523983845,6.087036088983878,0.7917855159987551
57,8,3.0,twq-yp-ts,0.1062766364348648,6.0,5.296271417801684,1.0286636615900573,6.141099781711052,0.8147742188996057
58,8,4.0,yt-yp-tcov-bgr,0.1175245736333867,6.0,2.492633572646996,5.336818793253679,6.141510862191234,0.7602452777361106
59,8,5.0,twq-tcov-bgr-ts-wavai,0.07029592734117,6.0,6.10063808481228,3.9903451279494506,1.9092589551756776,0.7346939219895992
60,8,6.0,yt-twq-yp-pet-ai-ndvisp,0.2006296300876715,5.0,2.052924460367623,7.721259701625235,3.890528342094564,0.6612912895066242
61,8,7.0,yp-pet-tcov-bgr-ts-ndvif-ndvisp,0.0808429847374583,6.0,1.3505812506715933,3.1658440475759675,0.8842180773500202,0.7472002874274938
62,8,8.0,tdq-tcq-yp-ai-tcov-ps-ts-ndvif,0.0907434131473267,6.0,1.085824787216796,3.0893374378587617,0.4204206382182521,0.7815070017547322
63,8,9.0,twq-tcq-yp-tcov-bgr-ps-ts-ndviw-wavai,0.0681154365666821,6.0,10.0,7.52461476325867,0.0,0.6531391477491988
64,8,11.0,twq-tcq-yp-pwm-ai-tcov-bgr-ps-ts-ndviw-wavai,0.0842493378015124,6.0,6.700489260036329,6.812857572283533,0.0470814622403301,0.6
65,8,12.0,tdq-twq-tcq-yp-pwm-ai-tcov-bgr-ps-ts-ndviw-wavai,0.0832205832579113,6.0,6.601879820727949,5.911379407008104,0.0,0.6
66,9,1.0,pet,0.0990953873549848,4.0,5.274251888470054,4.09027512175162,9.600370239575865,0.893755258619773
67,9,2.0,tcq-tcov,0.1123097647358449,3.0,9.550783230823658,0.5556029669715146,9.491913222098807,0.6530391638088704
